,Expert,Institution
0,Kidney Diseases,National Institute of Diabetes and
1,Joseph Proietto,University of Melbourne
2,Michael Rosenbaum,Columbia University
3,N. H.,College of William
4,C. C. S.,Global C. C. S. Institute
5,Janette Dill,University of Akron
6,Nora Sveaass,University of Oslo
7,Billy Hawkins,Talladega College
8,Keren Mertens Horn,University of Massachusetts
9,Juan Carlos Izpisua Belmonte,Salk Institute
10,Yi Fuxian,University of   
11,Jessica S. Welburn,University of Iowa
12,Nick Bostrom,Oxford University
13,Mohammad Marandi,Tehran University
14,Jeffrey Winters,Northwestern University
15,Frederick Hess,American Enterprise Institute
16,Alfred McEwen,University of Arizona
17,Nicholas W. Griffin,Washington University
18,Dennis vanEngelsdorp,University of Maryland
19,U. S. A. Gymnastics,Michigan State University
20,Jason Cody,Michigan State University
21,Richard Lapchick,Institute for Diversity and Ethics in Sport
22,N. J.,Monmouth University
23,Robert Santelli,Monmouth University
24,Richard Jennings,John Moores University
25,João Zilhão,University of Barcelona
26,Erik Trinkaus,Washington University
27,John Hawks,University of   
28,Gary O’Donovan,Loughborough University
29,Hannah Arem,George Washington University
30,Qu Xinjiu,China University of Political Science and Law
31,Ferdinand Dudenhöffer,University of  
32,Jeff Fagan,Columbia University
33,José Simeón,Central American University
34,the J. William Fulbright Foreign Scholarship Board,Institute of American Indian
35,Martin Luther King Jr.,Stanford University
36,Dan Karasic,University of California
37,Gavin A. Schmidt,Goddard Institute for Space Studies
38,Geoffrey Greif,University of Maryland School of Social Work
39,Robert Williams,University of Arizona
40,Corina Tarnita,Princeton University
41,Juan Bonachela,University of Strathclyde
42,Norbert Juergens,University of Hamburg
43,Max Rietkerk,Utrecht University
44,Carolyn Vega,Amherst College
45,Walter Russell Mead,Bard College
46,David R. Dow,University of Houston Law Center
47,São Paulo,Catholic University
48,John Anthony Capra,Vanderbilt University
49,Andy Grewal,University of Iowa
50,Law Houston,South Texas College
51,James Solomon Padiet,Juba University
52,Hillary Clinton,Electoral College
53,Minxin Pei,Claremont McKenna College
54,John P. Enochs,Indiana University
55,Caesar Rodney,University of Delaware
56,Genaro Lozano,Iberoamerican University
57,Michael Oppenheimer,Princeton University
58,Gary Hufbauer,Peterson Institute for International Economics
59,Genaro Lozano,Iberoamerican University
60,William C. Banks,Syracuse University
61,John Coatsworth,Columbia University
62,Juan Carlos Izpisua Belmonte,Salk Institute
63,Tomoyuki Yamaguchi,University of Tokyo
64,Steven Goldman,University of Rochester Medical Center
65,Joe Quirk,Seasteading Institute
66,Simon Donner,University of British Columbia
67,Keith Still,Manchester Metropolitan University
68,Charles Kurzman,University of North Carolina
69,Zachary A. Chesser,George Mason University
70,Michael Hichborn,Lepanto Institute
71,John Jay,John Jay College of Criminal Justice in Midtown
72,Stony Brook,Stony Brook University
73,John Podhoretz,Cato Institute
74,James C. Hathaway,University of Michigan
75,Rory Medcalf,National Security College
76,Sabrina Corlette,Georgetown University
77,Bobby Murphy,Stanford University
78,Nicolas Berggruen,Berggruen Institute
79,Leslie Lenkowsky,Indiana University
80,Judy Chang,University of Pittsburgh
81,Sukhbinder Kumar,Newcastle University
82,Sudhir Hazareesingh,Oxford University
83,Josh Blackman,South Texas College of Law
84,Ognyan Minchev,Institute for Regional and International Studies
85,F. D. A.,Harvard University
86,Blackhawk Films,American Film Institute
87,N. Y.,Hamilton College
88,Jonathan Overpeck,Institute for Environment
89,Jacquelyn Gill,Climate Change Institute
90,Jay Rosen,New York University
91,Peter Thorne,Maynooth University
92,Brittany Miller,Boston University
93,Kimberlé Crenshaw,The University of Chicago Legal Forum
94,N. C.,Salem College
95,Richard Drake,University of Montana
96,Kiyoto Tanno,Tokyo Metropolitan University
97,Sean Rehaag,York University
98,Robert Pianta,University of Virginia Curry School of Education
99,Stan Veuger,American Enterprise Institute
100,Helen Fisher,Rutgers University
101,Sabrina Corlette,Georgetown University
102,Barack Obama,Electoral College
103,Bill Clinton,Electoral College
104,George Bush,Electoral College
105,Ronald Reagan,Electoral College
106,Dermot Walsh,University of Kent
107,Danny Martin,University of Illinois at Chicago
108,N. Y. “,Siena College
109,Peter D. Feaver,Duke University
110,Mark Cooper,Institute for Energy
111,Mark Deuze,University of Amsterdam
112,Ma Baoxing,Zhejiang University of Technology
113,Jack Engle,University of Houston
114,Laura Gayle,Florida State University
115,Stony Brook,Stony Brook University
116,Alexandra E. Hadley,Boston College
117,Rural Studio,Auburn University
118,Carl Tobias,University of Richmond School of Law
119,M. I. T.,University of Zurich
120,N. H.,Great Bay Community College
121,Liberty Mutual,University of New Hampshire
122,Lawrence Katz,Harvard University
123,Marissa Brandt,Gustavus Adolphus College
124,David Schmitt,Bradley University
125,Nataly Ascarrunz,Bolivian Institute of Forestry Investigation
126,Zhu Ning,Tsinghua University
127,Patrick Conway,University of North Carolina
128,George W. Bush,George W. Bush Institute
129,S. C.,City College
130,Lana Turner,University of Southern California
131,Andrea Constand,Temple University
132,Douglas Brinkley,Rice University
