URL,Expert,Institution
https://www.bbc.co.uk/news/world-us-canada-42251921,Mark Poynting,BBC News
https://www.wired.com/story/climate-change-failing-aging-dams-us-america-catastrophe/,Steve Wilcoxen,Ypsilanti city council
https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140,Lisa Ramirez,USDA’s Office of Partnerships and Public Engagement
https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140,Miranda Carver Martin,University of Florida
https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140,Nezahualcoyotl Xiuhtecutli,National Sustainable Agriculture Coalition
https://undark.org/2024/07/17/bury-biomass-curb-climate-change/,Hannah Murnen,Graphyte
https://undark.org/2024/07/17/bury-biomass-curb-climate-change/,Sinéad Crotty,Carbon Containment Lab
https://www.npr.org/2024/06/26/1196982368/the-consequences-of-climate-change-in-brazil,Carrie Kahn,NPR
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Kamala Harris,N/A
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Matt Novak,Gizmodo
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Kylie Mohr,Grist
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Harri Weber,Gizmodo
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Ayurella Horn-Muller,Grist
https://gizmodo.com/what-a-kamala-harris-presidency-would-mean-for-the-climate-2000477305,Matthew Gault,Gizmodo
https://gizmodo.com/wood-vaulting-explained-the-climate-solution-youve-never-heard-of-2000477856,Grant Canary,Mast Reforestation
https://gizmodo.com/wood-vaulting-explained-the-climate-solution-youve-never-heard-of-2000477856,Zeng,Carbon Lockdown Project
https://www.npr.org/2024/07/04/nx-s1-5026730/hurricane-beryl-climate-change,Andra Garner,Rowan University in New Jersey
https://www.npr.org/2024/07/04/nx-s1-5026730/hurricane-beryl-climate-change,Jennifer Collins,School of Geosciences at the University of South Florida
https://www.npr.org/2024/07/04/nx-s1-5026730/hurricane-beryl-climate-change,Ken Graham,National Weather Service
https://www.npr.org/2024/07/04/nx-s1-5026730/hurricane-beryl-climate-change,Tom Knutson,Geophysical Fluid Dynamics Laboratory at the National Oceanic and Atmospheric Administration
https://www.wired.com/story/evaporative-cooling-devices-coolant-clay-matka-mitticool-india-heat-wave/,Nadeem Sarwar,Tech Reporter based in India
https://www.wired.com/story/evaporative-cooling-devices-coolant-clay-matka-mitticool-india-heat-wave/,Shreya Fotedar,Delhi-based journalist
https://www.npr.org/2024/07/19/nx-s1-5041975/young-republicans-advocate-climate-action,Aidan Shank,American Conservation Coalition
https://www.npr.org/2024/07/19/nx-s1-5041975/young-republicans-advocate-climate-action,Danielle Butcher Franz,American Conservation Coalition
https://www.npr.org/2024/07/19/nx-s1-5041975/young-republicans-advocate-climate-action,Stephen Perkins,American Conservation Coalition
https://www.npr.org/2024/07/19/nx-s1-5041975/young-republicans-advocate-climate-action,Karly Matthews,American Conservation Coalition
https://www.npr.org/2024/07/19/nx-s1-5041975/young-republicans-advocate-climate-action,Benji Backer,American Conservation Coalition
https://readwrite.com/google-creates-ai-weather-simulator-that-measures-climate-change/,R.Saravanan,Texas A&M University
https://readwrite.com/google-creates-ai-weather-simulator-that-measures-climate-change/,Sophie Atkinson,No specific institution (freelance writer)
https://readwrite.com/google-creates-ai-weather-simulator-that-measures-climate-change/,Sam Shedden,No specific institution (Executive Editor at ReadWrite)
https://www.npr.org/2024/07/09/nx-s1-4998591/why-judicial-appointments-by-the-next-president-are-important-to-climate-change-law,Lisa Heinzerling,Georgetown University
https://www.npr.org/2024/07/09/nx-s1-4998591/why-judicial-appointments-by-the-next-president-are-important-to-climate-change-law,DJ Gerken,Southern Environmental Law Center
https://www.npr.org/2024/07/09/nx-s1-4998591/why-judicial-appointments-by-the-next-president-are-important-to-climate-change-law,Damien Schiff,Pacific Legal Foundation
https://www.npr.org/2024/07/09/nx-s1-4998591/why-judicial-appointments-by-the-next-president-are-important-to-climate-change-law,Erik Schlenker-Goodrich,Western Environmental Law Center
https://www.npr.org/2024/06/05/nx-s1-4993991/joe-biden-climate-change-election-2024,David Horton,Prysmian’s plant director
https://www.npr.org/2024/06/05/nx-s1-4993991/joe-biden-climate-change-election-2024,Patrick Whitty,Invenergy senior vice president
https://www.npr.org/2024/06/05/nx-s1-4993991/joe-biden-climate-change-election-2024,Sittenfeld,League of Conservation Voters
https://www.businessinsider.com/scientists-pilot-project-inject-carbon-into-ocean-floor-holes-2024-6,David Goldberg,Columbia University
https://www.businessinsider.com/turbulence-more-frequent-stronger-expert-aviation-explains-why-2024-7,Guy Gratton,Cranfield University
https://www.npr.org/2024/07/07/nx-s1-4978880/floridas-warmer-temperatures-cause-damage-even-as-its-lawmakers-deny-climate-change,Erika Benitez,Miami-Dade Emergency Management
https://www.npr.org/2024/07/07/nx-s1-4978880/floridas-warmer-temperatures-cause-damage-even-as-its-lawmakers-deny-climate-change,Gustavo Briand,University of Miami
https://www.npr.org/2024/07/12/g-s1-9545/ai-brings-soaring-emissions-for-google-and-microsoft-a-major-contributor-to-climate-change,Jesse Dodge,No institution mentioned for Jesse Dodge in the article
https://www.npr.org/2024/07/12/g-s1-9545/ai-brings-soaring-emissions-for-google-and-microsoft-a-major-contributor-to-climate-change,Alex Hanna,Distributed AI Research Institute (previously worked at Google)
https://www.npr.org/2024/07/16/g-s1-10851/up-first-newsletter-trump-vp-pick-jd-vance-heat-pumps,Danielle Kurtzleben,NPR
https://www.npr.org/2024/07/16/g-s1-10851/up-first-newsletter-trump-vp-pick-jd-vance-heat-pumps,Sarah Donaldson,Ohio Public Media
https://www.npr.org/2024/07/16/g-s1-10851/up-first-newsletter-trump-vp-pick-jd-vance-heat-pumps,Claudia Grisales,NPR
https://www.npr.org/2024/07/16/g-s1-10851/up-first-newsletter-trump-vp-pick-jd-vance-heat-pumps,Deepa Shivaram,NPR
https://www.bbc.com/news/articles/ckmmkdr0m2po,Prof Liz Bentley,Royal Meteorological Society
https://www.bbc.com/news/articles/ckmmkdr0m2po,Dr Ramit Debnath,University of Cambridge
https://www.npr.org/2024/07/02/nx-s1-5025129/record-temperatures-driven-by-climate-change-help-to-fuel-hurricane-beryl,Andra Garner,Rowan University in New Jersey
https://www.npr.org/2024/07/02/nx-s1-5025129/record-temperatures-driven-by-climate-change-help-to-fuel-hurricane-beryl,Jennifer Collins,School of Geosciences at the University of South Florida
https://www.wired.com/story/enough-with-the-arrogant-attitudes-towards-extreme-heat/,Marton,No institution mentioned in the article for Marton
https://www.wired.com/story/enough-with-the-arrogant-attitudes-towards-extreme-heat/,Ellison,US District Judge
https://www.wired.com/story/enough-with-the-arrogant-attitudes-towards-extreme-heat/,Barak,No institution mentioned in the article for Barak
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Kamala Harris,"US Senate, White House"
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Zoya Teirstein,Grist
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Ayurella Horn-Muller,Grist
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Joseph Winters,Grist
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Jake Bittle,Grist
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Matt Novak,GIZMODO USA LLC
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Kevin Feige,Marvel
https://gizmodo.com/its-too-hot-to-fly-helicopters-and-thats-killing-people-2000469734,Kylie Mohr,Grist
https://blog.google/outreach-initiatives/sustainability/2024-environmental-report/,Marta McAlister,Google
https://blog.google/outreach-initiatives/sustainability/2024-environmental-report/,Ayça Çakmakli,Google
https://blog.google/outreach-initiatives/sustainability/2024-environmental-report/,Heather Adkins,Google
https://blog.google/outreach-initiatives/sustainability/2024-environmental-report/,Phil Venables,Google
https://www.npr.org/2024/07/05/nx-s1-5020132/morning-news-brief,Alex Hager,KUNC (member station)
https://www.npr.org/2024/07/05/nx-s1-5020132/morning-news-brief,Ayesha Rascoe,NPR (Weekend Edition host)
https://www.npr.org/2024/07/05/nx-s1-5020132/morning-news-brief,Gustavo Briand,None mentioned (hairdresser)
https://www.npr.org/2024/07/05/nx-s1-5020132/morning-news-brief,Holly Raschein,"Monroe County, Florida Keys (mayor)"
https://www.npr.org/2024/07/10/nx-s1-5011975/brazil-has-to-deal-with-about-47-million-tons-of-trash-left-after-devastating-floods,Fabio Teixeira,Toyota Showroom in Porto Alegre
https://www.npr.org/2024/06/25/nx-s1-5017619/people-in-the-upper-midwest-are-grappling-with-catastrophic-flooding,Nicholas Pinter,No institution mentioned
https://www.npr.org/2024/06/25/nx-s1-5017619/people-in-the-upper-midwest-are-grappling-with-catastrophic-flooding,Rebecca Hersher,NPR's climate desk
https://www.wired.com/story/kings-speech-starmer-labour-climate-environment-policy/,Matt Reynolds,WIRED
https://yro.slashdot.org/story/24/07/16/2349233/puerto-rico-files-1-billion-suit-against-fossil-fuel-companies,Climate alarmists,No institution specified
https://yro.slashdot.org/story/24/07/16/2349233/puerto-rico-files-1-billion-suit-against-fossil-fuel-companies,Carbon credit brokers,No institution specified
https://yro.slashdot.org/story/24/07/16/2349233/puerto-rico-files-1-billion-suit-against-fossil-fuel-companies,Sen. Daniel Patrick Moynihan,U.S. Senate (mentioned in a historical context)
https://yro.slashdot.org/story/24/07/16/2349233/puerto-rico-files-1-billion-suit-against-fossil-fuel-companies,AOC ( Alexandria Ocasio-Cortez),U.S. House of Representatives
https://yro.slashdot.org/story/24/07/16/2349233/puerto-rico-files-1-billion-suit-against-fossil-fuel-companies,Bernie Sanders,"No institution specified, but likely referring to his role as a U.S. Senator or presidential candidate"
https://time.com/6994715/hurricane-beryl-extreme-weather-climate-change/,Alex Hall,"University of California, Los Angeles (UCLA)"
https://time.com/6994715/hurricane-beryl-extreme-weather-climate-change/,Marcus C. Sarofim,U.S. Environmental Protection Agency’s (EPA) Climate Science & Impacts Branch
https://time.com/6994715/hurricane-beryl-extreme-weather-climate-change/,Steve Vavrus,Wisconsin State Climatology Office
https://www.npr.org/2024/07/15/g-s1-8939/dont-think-heat-pumps-are-sexy-this-slow-jam-could-change-your-mind,Mike Roberts,The Switch Is On
https://www.npr.org/2024/07/15/g-s1-8939/dont-think-heat-pumps-are-sexy-this-slow-jam-could-change-your-mind,Will Hammond Jr.,No institution mentioned in the article for this expert
https://science.slashdot.org/story/24/06/27/1543255/sharp-rise-in-number-of-climate-lawsuits-against-companies-report-says,,WEF (World Economic Forum)
https://science.slashdot.org/story/24/06/27/1543255/sharp-rise-in-number-of-climate-lawsuits-against-companies-report-says,,Erasmus public health group
https://www.npr.org/2024/07/11/nx-s1-5034292/temperature-records-heatwave-climate-change,Joellen Russell,The University of Arizona
https://www.npr.org/2024/07/11/nx-s1-5034292/temperature-records-heatwave-climate-change,Katharine Hayhoe,The Nature Conservancy
https://www.wired.com/story/dial-up-imran-ahmed/,Riccardo Piccolo,N/A
https://www.wired.com/story/dial-up-imran-ahmed/,Dhruv Mehrotra,N/A
